ClbQ_vina_results,,,,ClbP_vina_results,,
Compound,308.pdbqt_log.txt:,-8.806,,Compound,492.pdbqt_log.log.txt:,-8.82
Compound,519.pdbqt_log.txt:,-8.804,,Compound,54.pdbqt_log.log.txt:,-8.816
Compound,530.pdbqt_log.txt:,-8.798,,Compound,88.pdbqt_log.log.txt:,-8.795
Compound,88.pdbqt_log.txt:,-8.793,,Compound,95.pdbqt_log.log.txt:,-8.793
Compound,454.pdbqt_log.txt:,-8.793,,Compound,303.pdbqt_log.log.txt:,-8.787
Compound,325.pdbqt_log.txt:,-8.792,,Compound,182.pdbqt_log.log.txt:,-8.782
Compound,445.pdbqt_log.txt:,-8.79,,Compound,487.pdbqt_log.log.txt:,-8.774
Compound,500.pdbqt_log.txt:,-8.787,,Compound,106.pdbqt_log.log.txt:,-8.768
Compound,124.pdbqt_log.txt:,-8.787,,Compound,470.pdbqt_log.log.txt:,-8.761
Compound,135.pdbqt_log.txt:,-8.786,,Compound,365.pdbqt_log.log.txt:,-8.759
Compound,3.pdbqt_log.txt:,-8.77,,Compound,103.pdbqt_log.log.txt:,-8.759
Compound,377.pdbqt_log.txt:,-8.769,,Compound,501.pdbqt_log.log.txt:,-8.75
Compound,65.pdbqt_log.txt:,-8.767,,Compound,32.pdbqt_log.log.txt:,-8.741
Compound,190.pdbqt_log.txt:,-8.767,,Compound,46.pdbqt_log.log.txt:,-8.737
Compound,24.pdbqt_log.txt:,-8.766,,Compound,394.pdbqt_log.log.txt:,-8.726
Compound,142.pdbqt_log.txt:,-8.765,,Compound,116.pdbqt_log.log.txt:,-8.719
Compound,151.pdbqt_log.txt:,-8.764,,Compound,78.pdbqt_log.log.txt:,-8.701
Compound,449.pdbqt_log.txt:,-8.763,,Compound,21.pdbqt_log.log.txt:,-8.666
Compound,520.pdbqt_log.txt:,-8.762,,Compound,79.pdbqt_log.log.txt:,-8.652
Compound,194.pdbqt_log.txt:,-8.76,,Compound,550.pdbqt_log.log.txt:,-8.592
Compound,365.pdbqt_log.txt:,-8.754,,Compound,198.pdbqt_log.log.txt:,-8.584
Compound,43.pdbqt_log.txt:,-8.752,,Compound,364.pdbqt_log.log.txt:,-8.583
Compound,278.pdbqt_log.txt:,-8.749,,Compound,89.pdbqt_log.log.txt:,-8.579
Compound,301.pdbqt_log.txt:,-8.747,,Compound,27.pdbqt_log.log.txt:,-8.571
Compound,219.pdbqt_log.txt:,-8.743,,Compound,314.pdbqt_log.log.txt:,-8.566
Compound,401.pdbqt_log.txt:,-8.742,,Compound,136.pdbqt_log.log.txt:,-8.551
Compound,147.pdbqt_log.txt:,-8.733,,Compound,451.pdbqt_log.log.txt:,-8.545
Compound,199.pdbqt_log.txt:,-8.733,,Compound,283.pdbqt_log.log.txt:,-8.536
Compound,403.pdbqt_log.txt:,-8.733,,Compound,119.pdbqt_log.log.txt:,-8.531
Formononetin.pdbqt_log.txt:,,-8.721,,Compound,69.pdbqt_log.log.txt:,-8.531
Compound,64.pdbqt_log.txt:,-8.708,,Compound,34.pdbqt_log.log.txt:,-8.523
Compound,266.pdbqt_log.txt:,-8.706,,Compound,335.pdbqt_log.log.txt:,-8.514
Compound,518.pdbqt_log.txt:,-8.701,,Compound,224.pdbqt_log.log.txt:,-8.513
Compound,32.pdbqt_log.txt:,-8.688,,Compound,407.pdbqt_log.log.txt:,-8.509
Compound,170.pdbqt_log.txt:,-8.67,,Compound,513.pdbqt_log.log.txt:,-8.508
Compound,23.pdbqt_log.txt:,-8.669,,Compound,334.pdbqt_log.log.txt:,-8.508
Compound,464.pdbqt_log.txt:,-8.668,,Compound,26.pdbqt_log.log.txt:,-8.486
Compound,501.pdbqt_log.txt:,-8.663,,Compound,41.pdbqt_log.log.txt:,-8.485
Compound,79.pdbqt_log.txt:,-8.653,,Compound,306.pdbqt_log.log.txt:,-8.478
Compound,93.pdbqt_log.txt:,-8.637,,Compound,98.pdbqt_log.log.txt:,-8.46
Compound,211.pdbqt_log.txt:,-8.628,,Compound,121.pdbqt_log.log.txt:,-8.456
Compound,224.pdbqt_log.txt:,-8.609,,Compound,81.pdbqt_log.log.txt:,-8.452
Compound,492.pdbqt_log.txt:,-8.606,,Compound,101.pdbqt_log.log.txt:,-8.441
Compound,263.pdbqt_log.txt:,-8.604,,Compound,24.pdbqt_log.log.txt:,-8.436
Compound,62.pdbqt_log.txt:,-8.6,,Compound,287.pdbqt_log.log.txt:,-8.42
Compound,494.pdbqt_log.txt:,-8.594,,Compound,232.pdbqt_log.log.txt:,-8.408
Compound,375.pdbqt_log.txt:,-8.591,,Compound,175.pdbqt_log.log.txt:,-8.39
Compound,311.pdbqt_log.txt:,-8.59,,Compound,403.pdbqt_log.log.txt:,-8.357
Compound,149.pdbqt_log.txt:,-8.574,,Compound,495.pdbqt_log.log.txt:,-8.35
Compound,60.pdbqt_log.txt:,-8.572,,Compound,70.pdbqt_log.log.txt:,-8.334
Compound,18.pdbqt_log.txt:,-8.571,,Compound,134.pdbqt_log.log.txt:,-8.313
Compound,418.pdbqt_log.txt:,-8.565,,Compound,426.pdbqt_log.log.txt:,-8.31
Compound,4.pdbqt_log.txt:,-8.561,,Compound,416.pdbqt_log.log.txt:,-8.3
Compound,209.pdbqt_log.txt:,-8.559,,Compound,147.pdbqt_log.log.txt:,-8.297
Compound,189.pdbqt_log.txt:,-8.552,,Compound,38.pdbqt_log.log.txt:,-8.292
Compound,379.pdbqt_log.txt:,-8.547,,Compound,213.pdbqt_log.log.txt:,-8.285
Compound,78.pdbqt_log.txt:,-8.539,,Compound,91.pdbqt_log.log.txt:,-8.285
Compound,115.pdbqt_log.txt:,-8.535,,Compound,218.pdbqt_log.log.txt:,-8.284
Compound,25.pdbqt_log.txt:,-8.531,,Compound,131.pdbqt_log.log.txt:,-8.277
Compound,487.pdbqt_log.txt:,-8.53,,Compound,444.pdbqt_log.log.txt:,-8.269
Compound,41.pdbqt_log.txt:,-8.518,,Compound,149.pdbqt_log.log.txt:,-8.269
Compound,456.pdbqt_log.txt:,-8.513,,Compound,177.pdbqt_log.log.txt:,-8.268
Compound,157.pdbqt_log.txt:,-8.504,,Compound,382.pdbqt_log.log.txt:,-8.267
Compound,430.pdbqt_log.txt:,-8.499,,Compound,10.pdbqt_log.log.txt:,-8.264
Compound,302.pdbqt_log.txt:,-8.499,,Compound,180.pdbqt_log.log.txt:,-8.238
Compound,6.pdbqt_log.txt:,-8.493,,Compound,410.pdbqt_log.log.txt:,-8.236
Compound,136.pdbqt_log.txt:,-8.491,,Compound,497.pdbqt_log.log.txt:,-8.232
Compound,443.pdbqt_log.txt:,-8.483,,Compound,456.pdbqt_log.log.txt:,-8.212
Compound,89.pdbqt_log.txt:,-8.48,,Compound,428.pdbqt_log.log.txt:,-8.204
Compound,393.pdbqt_log.txt:,-8.472,,Compound,64.pdbqt_log.log.txt:,-8.196
Compound,338.pdbqt_log.txt:,-8.472,,Compound,188.pdbqt_log.log.txt:,-8.195
Compound,451.pdbqt_log.txt:,-8.465,,Compound,552.pdbqt_log.log.txt:,-8.182
Compound,358.pdbqt_log.txt:,-8.464,,Compound,367.pdbqt_log.log.txt:,-8.173
Compound,81.pdbqt_log.txt:,-8.462,,Compound,434.pdbqt_log.log.txt:,-8.171
Compound,306.pdbqt_log.txt:,-8.452,,Compound,115.pdbqt_log.log.txt:,-8.156
Compound,48.pdbqt_log.txt:,-8.449,,Compound,465.pdbqt_log.log.txt:,-8.147
Compound,504.pdbqt_log.txt:,-8.439,,Compound,458.pdbqt_log.log.txt:,-8.144
Compound,517.pdbqt_log.txt:,-8.432,,Compound,508.pdbqt_log.log.txt:,-8.124
Compound,51.pdbqt_log.txt:,-8.427,,Compound,137.pdbqt_log.log.txt:,-8.109
Compound,180.pdbqt_log.txt:,-8.422,,Compound,397.pdbqt_log.log.txt:,-8.104
Compound,508.pdbqt_log.txt:,-8.422,,Compound,241.pdbqt_log.log.txt:,-8.103
Compound,49.pdbqt_log.txt:,-8.403,,Compound,185.pdbqt_log.log.txt:,-8.092
Compound,91.pdbqt_log.txt:,-8.398,,Compound,551.pdbqt_log.log.txt:,-8.064
Compound,550.pdbqt_log.txt:,-8.388,,Compound,348.pdbqt_log.log.txt:,-8.049
Compound,363.pdbqt_log.txt:,-8.385,,Compound,286.pdbqt_log.log.txt:,-8.045
Compound,281.pdbqt_log.txt:,-8.375,,Compound,327.pdbqt_log.log.txt:,-8.028
Compound,232.pdbqt_log.txt:,-8.369,,Compound,371.pdbqt_log.log.txt:,-8.012
Compound,428.pdbqt_log.txt:,-8.36,,Compound,263.pdbqt_log.log.txt:,-8.009
Compound,525.pdbqt_log.txt:,-8.355,,Compound,351.pdbqt_log.log.txt:,-7.997
Compound,495.pdbqt_log.txt:,-8.355,,Compound,193.pdbqt_log.log.txt:,-7.988
Compound,129.pdbqt_log.txt:,-8.345,,Compound,554.pdbqt_log.log.txt:,-7.977
Compound,303.pdbqt_log.txt:,-8.334,,Compound,273.pdbqt_log.log.txt:,-7.973
Compound,286.pdbqt_log.txt:,-8.331,,Compound,486.pdbqt_log.log.txt:,-7.97
Compound,227.pdbqt_log.txt:,-8.33,,Compound,30.pdbqt_log.log.txt:,-7.961
Compound,435.pdbqt_log.txt:,-8.329,,Compound,322.pdbqt_log.log.txt:,-7.96
Compound,548.pdbqt_log.txt:,-8.319,,Compound,516.pdbqt_log.log.txt:,-7.958
Compound,353.pdbqt_log.txt:,-8.307,,Compound,326.pdbqt_log.log.txt:,-7.934
